cycle,Population_size,Deleterious_muts,Beneficial_muts,Mean_fitness
1,1000,0,0,1.0
101,734,1363,27,0.546184
201,671,1345,31,0.563948
301,676,1448,46,0.533454
401,655,1420,35,0.548392
501,703,1428,41,0.548416
601,643,1447,35,0.547378
701,647,1408,39,0.5424
801,648,1427,44,0.560219
901,717,1408,45,0.552011
1001,655,1398,43,0.581085
1101,711,1470,53,0.59075
1201,653,1480,49,0.541472
1301,654,1424,42,0.553977
1401,685,1548,43,0.545798
1501,707,1464,41,0.564819
1601,677,1487,51,0.584331
1701,648,1482,54,0.544781
1801,695,1507,54,0.578492
1901,700,1504,55,0.540642
2001,699,1411,53,0.590425
2101,687,1448,46,0.574485
2201,643,1504,56,0.557241
2301,659,1489,58,0.570394
2401,672,1459,59,0.548997
2501,653,1408,56,0.57404
2601,668,1526,64,0.562909
2701,658,1582,60,0.564811
2801,658,1527,60,0.562576
2901,700,1484,64,0.578915
3001,680,1490,64,0.54708
3101,685,1508,64,0.551311
3201,653,1537,61,0.55471
3301,670,1588,66,0.523701
3401,684,1473,68,0.560246
3501,688,1472,72,0.557872
3601,670,1525,65,0.582632
3701,703,1521,71,0.561454
3801,676,1532,57,0.54078
3901,689,1621,61,0.543366
4001,640,1448,60,0.573034
4101,717,1552,73,0.566818
4201,662,1493,58,0.582769
4301,672,1502,53,0.535436
4401,673,1497,62,0.563259
4501,660,1517,51,0.571274
4601,683,1488,55,0.571105
4701,645,1448,55,0.563012
4801,673,1455,61,0.590777
4901,672,1535,63,0.566043
5001,732,1518,59,0.565725
5101,694,1478,57,0.550075
5201,667,1491,65,0.530607
5301,689,1535,75,0.53196
5401,660,1536,81,0.556865
5501,664,1541,61,0.555229
5601,661,1516,61,0.558404
5701,697,1470,68,0.573971
5801,657,1525,63,0.541607
5901,685,1531,62,0.605792
6001,715,1623,72,0.551405
6101,688,1530,70,0.54301
6201,646,1460,65,0.573611
6301,685,1512,76,0.577717
6401,712,1534,79,0.550923
6501,660,1470,78,0.560623
6601,716,1602,76,0.523869
6701,683,1518,63,0.526919
6801,711,1593,76,0.542682
6901,680,1579,61,0.56978
