id	mut_id	mut_type	pos	effect	h	sub_pop	gen_origin	num	frequency	rep
364	73351	m3	3160993	0.002547752	0.5	p1	102	1870	1	1
77	90936	m3	738017	0.004252868	0.5	p1	127	1870	1	1
531	98755	m2	4633653	-0.000278173	0.5	p1	138	1870	1	1
414	138778	m2	3668946	-4.73E-05	0.5	p1	197	1870	1	1
315	183799	m2	2732447	-5.07E-06	0.5	p1	263	1870	1	1
564	233208	m2	4871575	-1.05E-09	0.5	p1	334	1870	1	1
448	266618	m3	3944834	0.002321409	0.5	p1	383	1870	1	1
503	268215	m3	4423911	0.003607165	0.5	p1	385	1870	1	1
78	289153	m2	766795	-0.000279966	0.5	p1	415	1870	1	1
47	311931	m3	464361	0.003852054	0.5	p1	448	1870	1	1
272	315634	m3	2429199	0.001295552	0.5	p1	453	1870	1	1
217	425518	m3	1964480	0.000899265	0.5	p1	615	1870	1	1
271	557073	m3	2417721	3.06E-05	0.5	p1	810	1870	1	1
227	840316	m3	2076402	0.000378476	0.5	p1	1232	1870	1	1
63	961044	m2	645876	-4.96E-06	0.5	p1	1414	1870	1	1
81	1020586	m2	775784	-3.96E-05	0.5	p1	1502	1870	1	1
133	1096459	m3	1260979	0.000724208	0.5	p1	1614	1870	1	1
79	1138107	m3	769265	0.001438614	0.5	p1	1676	1870	1	1
462	1176811	m3	4000197	0.001699632	0.5	p1	1733	1870	1	1
111	1246923	m3	1038994	0.001185317	0.5	p1	1836	1870	1	1
513	1267750	m3	4515077	0.001266435	0.5	p1	1867	1870	1	1
327	1296389	m2	2801230	-0.000430292	0.5	p1	1910	1870	1	1
483	1322056	m3	4218459	0.001667541	0.5	p1	1949	1870	1	1
389	1326806	m2	3348882	-0.000973216	0.5	p1	1956	1870	1	1
254	1395870	m2	2256536	-0.000158908	0.5	p1	2059	1870	1	1
374	1468363	m2	3207710	-0.000315191	0.5	p1	2166	1870	1	1
164	1469409	m3	1520339	0.001132918	0.5	p1	2168	1870	1	1
336	1486647	m2	2878580	-9.45E-05	0.5	p1	2193	1870	1	1
183	1617613	m3	1661475	0.00287857	0.5	p1	2385	1870	1	1
434	1658677	m3	3859309	0.003377492	0.5	p1	2446	1870	1	1
222	1680201	m2	1997299	-0.000222147	0.5	p1	2478	1870	1	1
385	1725185	m3	3273218	0.001485544	0.5	p1	2545	1870	1	1
282	1757697	m3	2481533	0.000589132	0.5	p1	2593	1870	1	1
189	1773423	m2	1701706	-0.000774836	0.5	p1	2616	1870	1	1
105	1794808	m2	1007288	-6.67E-05	0.5	p1	2647	1870	1	1
554	1804260	m3	4793434	0.002136143	0.5	p1	2661	1870	1	1
298	1923713	m3	2626412	0.000600072	0.5	p1	2838	1870	1	1
508	1963936	m2	4453717	-0.001151833	0.5	p1	2897	1870	1	1
104	1981762	m3	1003202	0.00147391	0.5	p1	2924	1870	1	1
213	2069836	m2	1899031	-0.000306995	0.5	p1	3054	1870	1	1
330	2300009	m2	2852749	-4.79E-05	0.5	p1	3393	1870	1	1
93	2325203	m2	909306	-9.78E-05	0.5	p1	3430	1870	1	1
332	2384685	m3	2857508	0.00418427	0.5	p1	3519	1870	1	1
135	2410635	m3	1261681	0.000620111	0.5	p1	3556	1870	1	1
469	2516809	m3	4111705	0.001869498	0.5	p1	3711	1870	1	1
477	2547859	m3	4155703	0.001725252	0.5	p1	3757	1870	1	1
26	2681815	m3	207845	0.004123041	0.5	p1	3954	1870	1	1
64	2701854	m3	646686	0.0001584	0.5	p1	3983	1870	1	1
160	2872841	m3	1491583	0.000813888	0.5	p1	4233	1870	1	1
562	2885444	m3	4849468	0.002590042	0.5	p1	4251	1870	1	1
150	3035738	m3	1403679	0.000411475	0.5	p1	4468	1870	1	1
146	3070627	m2	1348807	-0.000181209	0.5	p1	4519	1870	1	1
182	3177486	m3	1655354	0.001071137	0.5	p1	4674	1870	1	1
18	3295525	m3	118225	0.001180733	0.5	p1	4844	1870	1	1
437	3306226	m3	3867767	0.00143234	0.5	p1	4860	1870	1	1
